Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31
/ | beegfs | scratch | ric.sessa | kubacki.michal | SRF_Eva_top | SRF_Eva_CUTandTAG | results | 02_trimmed | TEAD1-3_R2_001_val_2.fq.gz	(9.0, 4.0)	(10.0, 16.0)	(11.0, 78.0)	(12.0, 380.0)	(13.0, 1697.0)	(14.0, 7133.0)	(15.0, 18283.0)	(16.0, 27024.0)	(17.0, 30367.0)	(18.0, 32777.0)	(19.0, 35796.0)	(20.0, 41075.0)	(21.0, 46372.0)	(22.0, 53982.0)	(23.0, 63369.0)	(24.0, 74355.0)	(25.0, 86970.0)	(26.0, 100386.0)	(27.0, 115050.0)	(28.0, 131175.0)	(29.0, 148996.0)	(30.0, 173502.0)	(31.0, 205187.0)	(32.0, 246081.0)	(33.0, 307737.0)	(34.0, 404547.0)	(35.0, 581153.0)	(36.0, 909795.0)	(37.0, 1663404.0)	(38.0, 3935366.0)	(39.0, 32668328.0)	(40.0, 32556582.0)
/ | beegfs | scratch | ric.sessa | kubacki.michal | SRF_Eva_top | SRF_Eva_CUTandTAG | results | 02_trimmed | TES-1_R1_001_val_1.fq.gz	(12.0, 1.0)	(13.0, 17.0)	(14.0, 247.0)	(15.0, 1439.0)	(16.0, 3355.0)	(17.0, 4300.0)	(18.0, 6116.0)	(19.0, 9336.0)	(20.0, 13395.0)	(21.0, 18296.0)	(22.0, 24257.0)	(23.0, 32366.0)	(24.0, 42228.0)	(25.0, 54933.0)	(26.0, 69799.0)	(27.0, 87994.0)	(28.0, 107484.0)	(29.0, 129939.0)	(30.0, 158328.0)	(31.0, 193327.0)	(32.0, 240941.0)	(33.0, 310419.0)	(34.0, 415782.0)	(35.0, 607025.0)	(36.0, 956932.0)	(37.0, 1765361.0)	(38.0, 4174980.0)	(39.0, 28774067.0)	(40.0, 22618031.0)			
/ | beegfs | scratch | ric.sessa | kubacki.michal | SRF_Eva_top | SRF_Eva_CUTandTAG | results | 02_trimmed | TES-1_R2_001_val_2.fq.gz	(9.0, 3.0)	(10.0, 17.0)	(11.0, 116.0)	(12.0, 530.0)	(13.0, 2119.0)	(14.0, 7378.0)	(15.0, 16487.0)	(16.0, 23569.0)	(17.0, 26632.0)	(18.0, 28893.0)	(19.0, 31839.0)	(20.0, 36599.0)	(21.0, 41912.0)	(22.0, 48452.0)	(23.0, 56860.0)	(24.0, 66207.0)	(25.0, 77288.0)	(26.0, 89119.0)	(27.0, 100737.0)	(28.0, 114721.0)	(29.0, 130842.0)	(30.0, 153160.0)	(31.0, 179082.0)	(32.0, 217661.0)	(33.0, 271013.0)	(34.0, 356331.0)	(35.0, 512376.0)	(36.0, 802270.0)	(37.0, 1473600.0)	(38.0, 3528972.0)	(39.0, 27054444.0)	(40.0, 25371466.0)
/ | beegfs | scratch | ric.sessa | kubacki.michal | SRF_Eva_top | SRF_Eva_CUTandTAG | results | 02_trimmed | TES-2_R1_001_val_1.fq.gz	(13.0, 11.0)	(14.0, 184.0)	(15.0, 1215.0)	(16.0, 2831.0)	(17.0, 3773.0)	(18.0, 5583.0)	(19.0, 8307.0)	(20.0, 12460.0)	(21.0, 17772.0)	(22.0, 24341.0)	(23.0, 33374.0)	(24.0, 44168.0)	(25.0, 59158.0)	(26.0, 76419.0)	(27.0, 96122.0)	(28.0, 117725.0)	(29.0, 142651.0)	(30.0, 172463.0)	(31.0, 209098.0)	(32.0, 257426.0)	(33.0, 327053.0)	(34.0, 437593.0)	(35.0, 640968.0)	(36.0, 1016573.0)	(37.0, 1825367.0)	(38.0, 4229999.0)	(39.0, 29968042.0)	(40.0, 25410407.0)				
/ | beegfs | scratch | ric.sessa | kubacki.michal | SRF_Eva_top | SRF_Eva_CUTandTAG | results | 02_trimmed | TES-2_R2_001_val_2.fq.gz	(9.0, 1.0)	(10.0, 14.0)	(11.0, 75.0)	(12.0, 291.0)	(13.0, 1455.0)	(14.0, 5805.0)	(15.0, 14562.0)	(16.0, 21206.0)	(17.0, 24070.0)	(18.0, 26057.0)	(19.0, 28397.0)	(20.0, 33181.0)	(21.0, 38713.0)	(22.0, 45046.0)	(23.0, 52919.0)	(24.0, 62374.0)	(25.0, 73269.0)	(26.0, 85047.0)	(27.0, 97483.0)	(28.0, 111502.0)	(29.0, 128267.0)	(30.0, 149649.0)	(31.0, 176867.0)	(32.0, 214543.0)	(33.0, 268540.0)	(34.0, 354667.0)	(35.0, 513119.0)	(36.0, 805440.0)	(37.0, 1469330.0)	(38.0, 3472546.0)	(39.0, 27583307.0)	(40.0, 29283341.0)
/ | beegfs | scratch | ric.sessa | kubacki.michal | SRF_Eva_top | SRF_Eva_CUTandTAG | results | 02_trimmed | TES-3_R1_001_val_1.fq.gz	(13.0, 24.0)	(14.0, 332.0)	(15.0, 2002.0)	(16.0, 4745.0)	(17.0, 6438.0)	(18.0, 8887.0)	(19.0, 12344.0)	(20.0, 17648.0)	(21.0, 23031.0)	(22.0, 30011.0)	(23.0, 39651.0)	(24.0, 50854.0)	(25.0, 66851.0)	(26.0, 84814.0)	(27.0, 105411.0)	(28.0, 129504.0)	(29.0, 155566.0)	(30.0, 191546.0)	(31.0, 231975.0)	(32.0, 289360.0)	(33.0, 371779.0)	(34.0, 501384.0)	(35.0, 737716.0)	(36.0, 1168600.0)	(37.0, 2153581.0)	(38.0, 5180570.0)	(39.0, 31827431.0)	(40.0, 25687641.0)				
/ | beegfs | scratch | ric.sessa | kubacki.michal | SRF_Eva_top | SRF_Eva_CUTandTAG | results | 02_trimmed | TES-3_R2_001_val_2.fq.gz	(9.0, 5.0)	(10.0, 35.0)	(11.0, 147.0)	(12.0, 634.0)	(13.0, 2474.0)	(14.0, 8728.0)	(15.0, 19331.0)	(16.0, 27139.0)	(17.0, 30981.0)	(18.0, 33561.0)	(19.0, 36056.0)	(20.0, 40652.0)	(21.0, 46231.0)	(22.0, 53134.0)	(23.0, 61791.0)	(24.0, 71232.0)	(25.0, 82976.0)	(26.0, 94408.0)	(27.0, 107567.0)	(28.0, 122552.0)	(29.0, 138541.0)	(30.0, 162382.0)	(31.0, 192186.0)	(32.0, 232560.0)	(33.0, 293103.0)	(34.0, 387156.0)	(35.0, 559514.0)	(36.0, 884832.0)	(37.0, 1630469.0)	(38.0, 3955715.0)	(39.0, 28865149.0)	(40.0, 30938455.0)
/ | beegfs | scratch | ric.sessa | kubacki.michal | SRF_Eva_top | SRF_Eva_CUTandTAG | results | Legacy | TESmut-1_R1_001_val_1.fq.gz	(11.0, 1.0)	(12.0, 0.0)	(13.0, 16.0)	(14.0, 272.0)	(15.0, 1734.0)	(16.0, 4239.0)	(17.0, 6155.0)	(18.0, 9041.0)	(19.0, 13310.0)	(20.0, 18515.0)	(21.0, 24771.0)	(22.0, 32449.0)	(23.0, 43044.0)	(24.0, 55006.0)	(25.0, 71665.0)	(26.0, 90571.0)	(27.0, 111498.0)	(28.0, 135526.0)	(29.0, 160518.0)	(30.0, 193989.0)	(31.0, 231969.0)	(32.0, 285156.0)	(33.0, 363209.0)	(34.0, 480122.0)	(35.0, 699342.0)	(36.0, 1089140.0)	(37.0, 1977440.0)	(38.0, 4658492.0)	(39.0, 31855621.0)	(40.0, 25823828.0)		
/ | beegfs | scratch | ric.sessa | kubacki.michal | SRF_Eva_top | SRF_Eva_CUTandTAG | results | Legacy | TESmut-1_R2_001_val_2.fq.gz	(9.0, 6.0)	(10.0, 28.0)	(11.0, 102.0)	(12.0, 502.0)	(13.0, 2331.0)	(14.0, 9104.0)	(15.0, 20680.0)	(16.0, 28432.0)	(17.0, 31586.0)	(18.0, 33608.0)	(19.0, 36598.0)	(20.0, 41345.0)	(21.0, 46455.0)	(22.0, 53735.0)	(23.0, 62387.0)	(24.0, 72879.0)	(25.0, 83954.0)	(26.0, 95745.0)	(27.0, 108289.0)	(28.0, 124217.0)	(29.0, 138920.0)	(30.0, 162774.0)	(31.0, 192749.0)	(32.0, 232653.0)	(33.0, 291183.0)	(34.0, 383253.0)	(35.0, 551182.0)	(36.0, 863372.0)	(37.0, 1592309.0)	(38.0, 3846543.0)	(39.0, 29337267.0)	(40.0, 29992451.0)
/ | beegfs | scratch | ric.sessa | kubacki.michal | SRF_Eva_top | SRF_Eva_CUTandTAG | results | Legacy | TESmut-2_R1_001_val_1.fq.gz	(13.0, 20.0)	(14.0, 250.0)	(15.0, 1415.0)	(16.0, 3279.0)	(17.0, 4658.0)	(18.0, 6526.0)	(19.0, 9877.0)	(20.0, 14423.0)	(21.0, 20272.0)	(22.0, 26919.0)	(23.0, 36963.0)	(24.0, 47988.0)	(25.0, 63186.0)	(26.0, 79106.0)	(27.0, 98841.0)	(28.0, 121573.0)	(29.0, 145340.0)	(30.0, 177253.0)	(31.0, 215302.0)	(32.0, 268699.0)	(33.0, 340274.0)	(34.0, 454354.0)	(35.0, 666003.0)	(36.0, 1052561.0)	(37.0, 1926688.0)	(38.0, 4518626.0)	(39.0, 30414603.0)	(40.0, 25883180.0)				
/ | beegfs | scratch | ric.sessa | kubacki.michal | SRF_Eva_top | SRF_Eva_CUTandTAG | results | Legacy | TESmut-2_R2_001_val_2.fq.gz	(9.0, 3.0)	(10.0, 25.0)	(11.0, 90.0)	(12.0, 453.0)	(13.0, 1995.0)	(14.0, 7557.0)	(15.0, 17433.0)	(16.0, 24010.0)	(17.0, 27350.0)	(18.0, 29326.0)	(19.0, 31935.0)	(20.0, 36874.0)	(21.0, 42436.0)	(22.0, 49936.0)	(23.0, 58287.0)	(24.0, 67955.0)	(25.0, 79687.0)	(26.0, 91584.0)	(27.0, 103686.0)	(28.0, 118637.0)	(29.0, 135020.0)	(30.0, 159477.0)	(31.0, 187713.0)	(32.0, 228906.0)	(33.0, 289535.0)	(34.0, 385405.0)	(35.0, 559960.0)	(36.0, 882689.0)	(37.0, 1633886.0)	(38.0, 3969099.0)	(39.0, 28524596.0)	(40.0, 28852634.0)
/ | beegfs | scratch | ric.sessa | kubacki.michal | SRF_Eva_top | SRF_Eva_CUTandTAG | results | Legacy | TESmut-3_R1_001_val_1.fq.gz	(12.0, 1.0)	(13.0, 16.0)	(14.0, 342.0)	(15.0, 2186.0)	(16.0, 5119.0)	(17.0, 6916.0)	(18.0, 9399.0)	(19.0, 13174.0)	(20.0, 18882.0)	(21.0, 25503.0)	(22.0, 34594.0)	(23.0, 46944.0)	(24.0, 61688.0)	(25.0, 80764.0)	(26.0, 102875.0)	(27.0, 128279.0)	(28.0, 158148.0)	(29.0, 190801.0)	(30.0, 233979.0)	(31.0, 288116.0)	(32.0, 358625.0)	(33.0, 452809.0)	(34.0, 611476.0)	(35.0, 891909.0)	(36.0, 1399036.0)	(37.0, 2513160.0)	(38.0, 5947554.0)	(39.0, 37736275.0)	(40.0, 39903804.0)			
/ | beegfs | scratch | ric.sessa | kubacki.michal | SRF_Eva_top | SRF_Eva_CUTandTAG | results | Legacy | TESmut-3_R2_001_val_2.fq.gz	(9.0, 20.0)	(10.0, 68.0)	(11.0, 260.0)	(12.0, 999.0)	(13.0, 4254.0)	(14.0, 15341.0)	(15.0, 33455.0)	(16.0, 45602.0)	(17.0, 50214.0)	(18.0, 52125.0)	(19.0, 55721.0)	(20.0, 60901.0)	(21.0, 68932.0)	(22.0, 79345.0)	(23.0, 92882.0)	(24.0, 107762.0)	(25.0, 123947.0)	(26.0, 140357.0)	(27.0, 157897.0)	(28.0, 177356.0)	(29.0, 201476.0)	(30.0, 233369.0)	(31.0, 273768.0)	(32.0, 331142.0)	(33.0, 417730.0)	(34.0, 555377.0)	(35.0, 801571.0)	(36.0, 1246452.0)	(37.0, 2239182.0)	(38.0, 5272759.0)	(39.0, 34053052.0)	(40.0, 44329058.0)
IggMs_R1_001	(13.0, 58.0)	(14.0, 1127.0)	(15.0, 6592.0)	(16.0, 13946.0)	(17.0, 18397.0)	(18.0, 25324.0)	(19.0, 36575.0)	(20.0, 49591.0)	(21.0, 63504.0)	(22.0, 82994.0)	(23.0, 105340.0)	(24.0, 134811.0)	(25.0, 170943.0)	(26.0, 213130.0)	(27.0, 281019.0)	(28.0, 362470.0)	(29.0, 519603.0)	(30.0, 775968.0)	(31.0, 1449885.0)	(32.0, 4143303.0)	(33.0, 8079206.0)	(34.0, 7704044.0)	(35.0, 5009836.0)	(36.0, 4196532.0)	(37.0, 3956412.0)	(38.0, 5143686.0)	(39.0, 21098039.0)	(40.0, 7727268.0)				
IggMs_R1_001_val_1	(13.0, 21.0)	(14.0, 354.0)	(15.0, 2250.0)	(16.0, 4835.0)	(17.0, 5599.0)	(18.0, 7258.0)	(19.0, 10459.0)	(20.0, 14894.0)	(21.0, 20063.0)	(22.0, 26774.0)	(23.0, 36391.0)	(24.0, 48339.0)	(25.0, 63663.0)	(26.0, 81553.0)	(27.0, 101369.0)	(28.0, 125930.0)	(29.0, 149768.0)	(30.0, 181706.0)	(31.0, 221006.0)	(32.0, 274615.0)	(33.0, 346555.0)	(34.0, 460068.0)	(35.0, 677166.0)	(36.0, 1067301.0)	(37.0, 1916527.0)	(38.0, 4385368.0)	(39.0, 31351075.0)	(40.0, 29720324.0)				
IggMs_R2_001	(10.0, 6.0)	(11.0, 76.0)	(12.0, 626.0)	(13.0, 2773.0)	(14.0, 10533.0)	(15.0, 24330.0)	(16.0, 33438.0)	(17.0, 35090.0)	(18.0, 37191.0)	(19.0, 41103.0)	(20.0, 46837.0)	(21.0, 51834.0)	(22.0, 58638.0)	(23.0, 67433.0)	(24.0, 75822.0)	(25.0, 90100.0)	(26.0, 103492.0)	(27.0, 118512.0)	(28.0, 140630.0)	(29.0, 156865.0)	(30.0, 192541.0)	(31.0, 220123.0)	(32.0, 273378.0)	(33.0, 342944.0)	(34.0, 441783.0)	(35.0, 652562.0)	(36.0, 973686.0)	(37.0, 1916993.0)	(38.0, 5115583.0)	(39.0, 48168737.0)	(40.0, 11975944.0)	
IggMs_R2_001_val_2	(9.0, 6.0)	(10.0, 22.0)	(11.0, 73.0)	(12.0, 358.0)	(13.0, 1776.0)	(14.0, 7090.0)	(15.0, 17485.0)	(16.0, 25653.0)	(17.0, 28074.0)	(18.0, 30052.0)	(19.0, 32424.0)	(20.0, 36217.0)	(21.0, 41246.0)	(22.0, 47737.0)	(23.0, 56125.0)	(24.0, 65705.0)	(25.0, 76857.0)	(26.0, 88056.0)	(27.0, 100389.0)	(28.0, 114767.0)	(29.0, 131639.0)	(30.0, 154888.0)	(31.0, 181270.0)	(32.0, 218572.0)	(33.0, 274692.0)	(34.0, 362767.0)	(35.0, 528524.0)	(36.0, 830074.0)	(37.0, 1510162.0)	(38.0, 3527569.0)	(39.0, 28803029.0)	(40.0, 34007933.0)
IggRb_R1_001	(12.0, 2.0)	(13.0, 106.0)	(14.0, 2234.0)	(15.0, 14045.0)	(16.0, 28289.0)	(17.0, 28619.0)	(18.0, 29456.0)	(19.0, 37464.0)	(20.0, 47418.0)	(21.0, 58477.0)	(22.0, 74350.0)	(23.0, 91173.0)	(24.0, 113328.0)	(25.0, 142950.0)	(26.0, 173677.0)	(27.0, 223202.0)	(28.0, 281294.0)	(29.0, 385224.0)	(30.0, 553513.0)	(31.0, 921060.0)	(32.0, 2200836.0)	(33.0, 4993797.0)	(34.0, 7018068.0)	(35.0, 5155699.0)	(36.0, 4312284.0)	(37.0, 4019790.0)	(38.0, 5315451.0)	(39.0, 20918185.0)	(40.0, 7382022.0)			
IggRb_R1_001_val_1	(13.0, 34.0)	(14.0, 791.0)	(15.0, 5409.0)	(16.0, 11401.0)	(17.0, 10979.0)	(18.0, 9995.0)	(19.0, 12156.0)	(20.0, 16412.0)	(21.0, 21540.0)	(22.0, 28134.0)	(23.0, 37014.0)	(24.0, 48269.0)	(25.0, 63363.0)	(26.0, 79927.0)	(27.0, 98216.0)	(28.0, 119680.0)	(29.0, 142324.0)	(30.0, 172108.0)	(31.0, 206273.0)	(32.0, 254051.0)	(33.0, 323561.0)	(34.0, 429872.0)	(35.0, 627338.0)	(36.0, 987184.0)	(37.0, 1792851.0)	(38.0, 4162823.0)	(39.0, 29677599.0)	(40.0, 25106927.0)				
IggRb_R2_001	(10.0, 8.0)	(11.0, 211.0)	(12.0, 1533.0)	(13.0, 5711.0)	(14.0, 18776.0)	(15.0, 39820.0)	(16.0, 46276.0)	(17.0, 41879.0)	(18.0, 41290.0)	(19.0, 44455.0)	(20.0, 49629.0)	(21.0, 53331.0)	(22.0, 59768.0)	(23.0, 68016.0)	(24.0, 75701.0)	(25.0, 87830.0)	(26.0, 100113.0)	(27.0, 113550.0)	(28.0, 132795.0)	(29.0, 146487.0)	(30.0, 177821.0)	(31.0, 202127.0)	(32.0, 249615.0)	(33.0, 310077.0)	(34.0, 394820.0)	(35.0, 580271.0)	(36.0, 867968.0)	(37.0, 1705491.0)	(38.0, 4480730.0)	(39.0, 42801840.0)	(40.0, 11624074.0)	
IggRb_R2_001_val_2	(9.0, 5.0)	(10.0, 18.0)	(11.0, 131.0)	(12.0, 699.0)	(13.0, 3054.0)	(14.0, 10910.0)	(15.0, 25284.0)	(16.0, 33572.0)	(17.0, 32837.0)	(18.0, 32716.0)	(19.0, 34164.0)	(20.0, 38234.0)	(21.0, 42852.0)	(22.0, 48545.0)	(23.0, 56410.0)	(24.0, 65107.0)	(25.0, 75574.0)	(26.0, 86526.0)	(27.0, 97881.0)	(28.0, 111553.0)	(29.0, 125837.0)	(30.0, 147618.0)	(31.0, 172043.0)	(32.0, 207388.0)	(33.0, 258289.0)	(34.0, 337328.0)	(35.0, 487056.0)	(36.0, 759747.0)	(37.0, 1389374.0)	(38.0, 3252742.0)	(39.0, 27193097.0)	(40.0, 29319640.0)
TEAD1-1_R1_001	(12.0, 6.0)	(13.0, 253.0)	(14.0, 4467.0)	(15.0, 24406.0)	(16.0, 48584.0)	(17.0, 62664.0)	(18.0, 85350.0)	(19.0, 123792.0)	(20.0, 167280.0)	(21.0, 216374.0)	(22.0, 284696.0)	(23.0, 357655.0)	(24.0, 458634.0)	(25.0, 581317.0)	(26.0, 724069.0)	(27.0, 951260.0)	(28.0, 1230048.0)	(29.0, 1782128.0)	(30.0, 2680471.0)	(31.0, 5292394.0)	(32.0, 16713283.0)	(33.0, 30705061.0)	(34.0, 25208043.0)	(35.0, 19343350.0)	(36.0, 15384945.0)	(37.0, 14015302.0)	(38.0, 16664172.0)	(39.0, 64304433.0)	(40.0, 20276869.0)			
TEAD1-1_R1_001_val_1	(12.0, 2.0)	(13.0, 72.0)	(14.0, 1391.0)	(15.0, 8745.0)	(16.0, 17095.0)	(17.0, 19042.0)	(18.0, 23382.0)	(19.0, 33172.0)	(20.0, 47396.0)	(21.0, 64345.0)	(22.0, 87954.0)	(23.0, 118125.0)	(24.0, 157577.0)	(25.0, 210040.0)	(26.0, 268661.0)	(27.0, 336569.0)	(28.0, 414336.0)	(29.0, 498236.0)	(30.0, 606227.0)	(31.0, 749726.0)	(32.0, 929649.0)	(33.0, 1143087.0)	(34.0, 1518845.0)	(35.0, 2236356.0)	(36.0, 3532787.0)	(37.0, 6319462.0)	(38.0, 14580349.0)	(39.0, 103850198.0)	(40.0, 99476289.0)			
TEAD1-1_R2_001	(10.0, 12.0)	(11.0, 241.0)	(12.0, 1979.0)	(13.0, 9973.0)	(14.0, 40846.0)	(15.0, 103721.0)	(16.0, 144329.0)	(17.0, 152034.0)	(18.0, 158340.0)	(19.0, 173404.0)	(20.0, 197055.0)	(21.0, 212413.0)	(22.0, 241574.0)	(23.0, 275057.0)	(24.0, 305061.0)	(25.0, 361415.0)	(26.0, 406976.0)	(27.0, 463713.0)	(28.0, 548830.0)	(29.0, 604125.0)	(30.0, 740253.0)	(31.0, 838204.0)	(32.0, 1041108.0)	(33.0, 1292582.0)	(34.0, 1664248.0)	(35.0, 2427737.0)	(36.0, 3612370.0)	(37.0, 7020951.0)	(38.0, 18957466.0)	(39.0, 161947051.0)	(40.0, 33748238.0)	
TEAD1-1_R2_001_val_2	(9.0, 19.0)	(10.0, 104.0)	(11.0, 365.0)	(12.0, 1735.0)	(13.0, 7526.0)	(14.0, 30647.0)	(15.0, 78624.0)	(16.0, 114761.0)	(17.0, 125141.0)	(18.0, 128727.0)	(19.0, 136000.0)	(20.0, 149936.0)	(21.0, 168354.0)	(22.0, 193944.0)	(23.0, 224199.0)	(24.0, 261841.0)	(25.0, 302897.0)	(26.0, 345874.0)	(27.0, 391278.0)	(28.0, 444664.0)	(29.0, 502997.0)	(30.0, 585855.0)	(31.0, 685834.0)	(32.0, 824803.0)	(33.0, 1033891.0)	(34.0, 1364136.0)	(35.0, 1973656.0)	(36.0, 3087422.0)	(37.0, 5532336.0)	(38.0, 12882579.0)	(39.0, 95735095.0)	(40.0, 109933875.0)
TEAD1-2_R1_001	(12.0, 1.0)	(13.0, 49.0)	(14.0, 804.0)	(15.0, 4905.0)	(16.0, 10615.0)	(17.0, 14473.0)	(18.0, 20567.0)	(19.0, 30393.0)	(20.0, 41414.0)	(21.0, 52833.0)	(22.0, 68782.0)	(23.0, 86841.0)	(24.0, 109534.0)	(25.0, 139753.0)	(26.0, 172842.0)	(27.0, 222523.0)	(28.0, 282916.0)	(29.0, 386721.0)	(30.0, 557974.0)	(31.0, 973277.0)	(32.0, 2531318.0)	(33.0, 5573025.0)	(34.0, 6143557.0)	(35.0, 4607047.0)	(36.0, 4213656.0)	(37.0, 4339085.0)	(38.0, 5649819.0)	(39.0, 24690301.0)	(40.0, 8014914.0)			
TEAD1-2_R1_001_val_1	(13.0, 11.0)	(14.0, 217.0)	(15.0, 1668.0)	(16.0, 3627.0)	(17.0, 4725.0)	(18.0, 6409.0)	(19.0, 9660.0)	(20.0, 13952.0)	(21.0, 19386.0)	(22.0, 26344.0)	(23.0, 35476.0)	(24.0, 47310.0)	(25.0, 63101.0)	(26.0, 80652.0)	(27.0, 100886.0)	(28.0, 123166.0)	(29.0, 145681.0)	(30.0, 176525.0)	(31.0, 210911.0)	(32.0, 259639.0)	(33.0, 328552.0)	(34.0, 432575.0)	(35.0, 635157.0)	(36.0, 1000585.0)	(37.0, 1809213.0)	(38.0, 4177818.0)	(39.0, 32393795.0)	(40.0, 26764163.0)				
TEAD1-2_R2_001	(10.0, 2.0)	(11.0, 81.0)	(12.0, 467.0)	(13.0, 2382.0)	(14.0, 9307.0)	(15.0, 22262.0)	(16.0, 30742.0)	(17.0, 33237.0)	(18.0, 35718.0)	(19.0, 40279.0)	(20.0, 46407.0)	(21.0, 51206.0)	(22.0, 57789.0)	(23.0, 66346.0)	(24.0, 73797.0)	(25.0, 88903.0)	(26.0, 100998.0)	(27.0, 114993.0)	(28.0, 137088.0)	(29.0, 151293.0)	(30.0, 185499.0)	(31.0, 211647.0)	(32.0, 259825.0)	(33.0, 324983.0)	(34.0, 414451.0)	(35.0, 610553.0)	(36.0, 909079.0)	(37.0, 1785302.0)	(38.0, 4663927.0)	(39.0, 45390626.0)	(40.0, 13120750.0)	
TEAD1-2_R2_001_val_2	(9.0, 2.0)	(10.0, 13.0)	(11.0, 66.0)	(12.0, 295.0)	(13.0, 1585.0)	(14.0, 6581.0)	(15.0, 16650.0)	(16.0, 24602.0)	(17.0, 27871.0)	(18.0, 29897.0)	(19.0, 32730.0)	(20.0, 37341.0)	(21.0, 42205.0)	(22.0, 49462.0)	(23.0, 57324.0)	(24.0, 66765.0)	(25.0, 78966.0)	(26.0, 89885.0)	(27.0, 102668.0)	(28.0, 116730.0)	(29.0, 132506.0)	(30.0, 155496.0)	(31.0, 181906.0)	(32.0, 219384.0)	(33.0, 272557.0)	(34.0, 355383.0)	(35.0, 513480.0)	(36.0, 800134.0)	(37.0, 1465121.0)	(38.0, 3450596.0)	(39.0, 29728041.0)	(40.0, 30814962.0)
TEAD1-3_R1_001	(12.0, 1.0)	(13.0, 51.0)	(14.0, 942.0)	(15.0, 5759.0)	(16.0, 12720.0)	(17.0, 16519.0)	(18.0, 23277.0)	(19.0, 34112.0)	(20.0, 45691.0)	(21.0, 59446.0)	(22.0, 76945.0)	(23.0, 97045.0)	(24.0, 122409.0)	(25.0, 156249.0)	(26.0, 192266.0)	(27.0, 249350.0)	(28.0, 315956.0)	(29.0, 438537.0)	(30.0, 642603.0)	(31.0, 1230211.0)	(32.0, 3862072.0)	(33.0, 6395923.0)	(34.0, 5598265.0)	(35.0, 5734112.0)	(36.0, 5007057.0)	(37.0, 4288346.0)	(38.0, 6232869.0)	(39.0, 25550666.0)	(40.0, 8357317.0)			
TEAD1-3_R1_001_val_1	(13.0, 13.0)	(14.0, 284.0)	(15.0, 1938.0)	(16.0, 4539.0)	(17.0, 5278.0)	(18.0, 7201.0)	(19.0, 10499.0)	(20.0, 14918.0)	(21.0, 20720.0)	(22.0, 27610.0)	(23.0, 37567.0)	(24.0, 50191.0)	(25.0, 66960.0)	(26.0, 86101.0)	(27.0, 107903.0)	(28.0, 132420.0)	(29.0, 159103.0)	(30.0, 192414.0)	(31.0, 234381.0)	(32.0, 290492.0)	(33.0, 362259.0)	(34.0, 484463.0)	(35.0, 709594.0)	(36.0, 1120789.0)	(37.0, 2028777.0)	(38.0, 4720270.0)	(39.0, 35176681.0)	(40.0, 28613602.0)				
TEAD1-3_R2_001	(10.0, 3.0)	(11.0, 75.0)	(12.0, 584.0)	(13.0, 2665.0)	(14.0, 10390.0)	(15.0, 25083.0)	(16.0, 33984.0)	(17.0, 36835.0)	(18.0, 40119.0)	(19.0, 44744.0)	(20.0, 52001.0)	(21.0, 57202.0)	(22.0, 65406.0)	(23.0, 75220.0)	(24.0, 84393.0)	(25.0, 99963.0)	(26.0, 114274.0)	(27.0, 131094.0)	(28.0, 155209.0)	(29.0, 171566.0)	(30.0, 208632.0)	(31.0, 238681.0)	(32.0, 294172.0)	(33.0, 366087.0)	(34.0, 469048.0)	(35.0, 689182.0)	(36.0, 1029193.0)	(37.0, 2021937.0)	(38.0, 5350108.0)	(39.0, 49688259.0)	(40.0, 13190607.0)	
TEAD1-3_R2_001_val_2	(9.0, 4.0)	(10.0, 16.0)	(11.0, 78.0)	(12.0, 380.0)	(13.0, 1697.0)	(14.0, 7133.0)	(15.0, 18283.0)	(16.0, 27024.0)	(17.0, 30367.0)	(18.0, 32777.0)	(19.0, 35796.0)	(20.0, 41075.0)	(21.0, 46372.0)	(22.0, 53982.0)	(23.0, 63369.0)	(24.0, 74355.0)	(25.0, 86970.0)	(26.0, 100386.0)	(27.0, 115050.0)	(28.0, 131175.0)	(29.0, 148996.0)	(30.0, 173502.0)	(31.0, 205187.0)	(32.0, 246081.0)	(33.0, 307737.0)	(34.0, 404547.0)	(35.0, 581153.0)	(36.0, 909795.0)	(37.0, 1663404.0)	(38.0, 3935366.0)	(39.0, 32668328.0)	(40.0, 32556582.0)
TES-1_R1_001	(13.0, 54.0)	(14.0, 825.0)	(15.0, 4348.0)	(16.0, 9912.0)	(17.0, 14151.0)	(18.0, 20822.0)	(19.0, 31093.0)	(20.0, 42128.0)	(21.0, 54341.0)	(22.0, 70628.0)	(23.0, 87568.0)	(24.0, 109371.0)	(25.0, 138643.0)	(26.0, 167216.0)	(27.0, 213980.0)	(28.0, 265914.0)	(29.0, 350176.0)	(30.0, 478527.0)	(31.0, 701351.0)	(32.0, 1306020.0)	(33.0, 2295588.0)	(34.0, 4208232.0)	(35.0, 5506807.0)	(36.0, 6399889.0)	(37.0, 5203917.0)	(38.0, 5625600.0)	(39.0, 21243442.0)	(40.0, 6325724.0)				
